DateRep	CountryExp	NewConfCases	NewDeaths	GeoId	NewRecovered	AllRecovered	AllConfCases	AllDeaths	covid_inICU_upscaled	Hospital	CountryExp2	NewConfCases7	NewDeaths7	covid_inICU_upscaled7	Altersgruppe	id	Ntotal	NewVaccinations	NewVaccinations_voll	NewVaccinations7	NewVaccinations_voll7	AllVaccinations	AllVaccinations_voll
2020-03-04	Germany_RKI	148	0	DE.Sub	NA	NA	148	0	NA	NA	Germany_RKI	NA	NA	NA	all	Germany_RKI all 2020-03-04	83166711	0	0	0	0	0	0
2020-03-05	Germany_RKI	49	0	DE.Sub	NA	NA	197	0	NA	NA	Germany_RKI	NA	NA	NA	all	Germany_RKI all 2020-03-05	83166711	0	0	0	0	0	0
2020-03-06	Germany_RKI	101	0	DE.Sub	NA	NA	298	0	NA	NA	Germany_RKI	NA	NA	NA	all	Germany_RKI all 2020-03-06	83166711	0	0	0	0	0	0
2020-03-07	Germany_RKI	86	0	DE.Sub	NA	NA	384	0	NA	NA	Germany_RKI	93.4285714285714	0.285714285714286	NA	all	Germany_RKI all 2020-03-07	83166711	0	0	0	0	0	0
2020-03-08	Germany_RKI	63	0	DE.Sub	NA	NA	447	0	NA	NA	Germany_RKI	134.428571428571	0.428571428571429	NA	all	Germany_RKI all 2020-03-08	83166711	0	0	0	0	0	0
2020-03-09	Germany_RKI	67	2	DE.Sub	NA	NA	514	2	NA	NA	Germany_RKI	242.142857142857	0.714285714285714	NA	all	Germany_RKI all 2020-03-09	83166711	0	0	0	0	0	0
2020-03-10	Germany_RKI	140	0	DE.Sub	NA	NA	654	2	NA	NA	Germany_RKI	325.428571428571	0.714285714285714	NA	all	Germany_RKI all 2020-03-10	83166711	0	0	0	0	0	0
2020-03-11	Germany_RKI	435	1	DE.Sub	NA	NA	1089	3	NA	NA	Germany_RKI	433.857142857143	1.14285714285714	NA	all	Germany_RKI all 2020-03-11	83166711	0	0	0	0	0	0
2020-03-12	Germany_RKI	803	2	DE.Sub	NA	NA	1892	5	NA	NA	Germany_RKI	535.428571428571	1.71428571428571	NA	all	Germany_RKI all 2020-03-12	83166711	0	0	0	0	0	0
2020-03-13	Germany_RKI	684	0	DE.Sub	NA	NA	2576	5	NA	NA	Germany_RKI	702.714285714286	1.57142857142857	NA	all	Germany_RKI all 2020-03-13	83166711	0	0	0	0	0	0
2020-03-14	Germany_RKI	845	3	DE.Sub	NA	NA	3421	8	NA	NA	Germany_RKI	928.857142857143	1.57142857142857	NA	all	Germany_RKI all 2020-03-14	83166711	0	0	0	0	0	0
2020-03-15	Germany_RKI	774	4	DE.Sub	NA	NA	4195	12	NA	NA	Germany_RKI	1015.57142857143	1.42857142857143	NA	all	Germany_RKI all 2020-03-15	83166711	0	0	0	0	0	0
2020-03-16	Germany_RKI	1238	1	DE.Sub	NA	NA	5433	13	NA	NA	Germany_RKI	1301	2.28571428571429	NA	all	Germany_RKI all 2020-03-16	83166711	0	0	0	0	0	0
2020-03-17	Germany_RKI	1723	0	DE.Sub	NA	NA	7156	13	NA	NA	Germany_RKI	1625.85714285714	3.85714285714286	NA	all	Germany_RKI all 2020-03-17	83166711	0	0	0	0	0	0
2020-03-18	Germany_RKI	1042	0	DE.Sub	NA	NA	8198	13	NA	NA	Germany_RKI	1891.57142857143	5.57142857142857	NA	all	Germany_RKI all 2020-03-18	83166711	0	0	0	0	0	0
2020-03-19	Germany_RKI	2801	8	DE.Sub	NA	NA	10999	21	NA	NA	Germany_RKI	2059.28571428571	6.28571428571429	NA	all	Germany_RKI all 2020-03-19	83166711	0	0	0	0	0	0
2020-03-20	Germany_RKI	2958	11	DE.Sub	NA	NA	13957	32	NA	NA	Germany_RKI	2462.71428571429	10.5714285714286	NA	all	Germany_RKI all 2020-03-20	83166711	0	0	0	0	0	0
2020-03-21	Germany_RKI	2705	15	DE.Sub	NA	NA	16662	47	NA	NA	Germany_RKI	2897.14285714286	14.5714285714286	NA	all	Germany_RKI all 2020-03-21	83166711	0	0	0	0	0	0
2020-03-22	Germany_RKI	1948	9	DE.Sub	NA	NA	18610	56	NA	NA	Germany_RKI	3336.57142857143	19.5714285714286	NA	all	Germany_RKI all 2020-03-22	83166711	0	0	0	0	0	0
2020-03-23	Germany_RKI	4062	31	DE.Sub	NA	NA	22672	87	NA	NA	Germany_RKI	3644.14285714286	25.4285714285714	2006.40477187108	all	Germany_RKI all 2020-03-23	83166711	0	0	0	0	0	0
2020-03-24	Germany_RKI	4764	28	DE.Sub	NA	NA	27436	115	NA	NA	Germany_RKI	4047.28571428571	31.7142857142857	2050.76702017896	all	Germany_RKI all 2020-03-24	83166711	0	0	0	0	0	0
2020-03-25	Germany_RKI	4118	35	DE.Sub	NA	NA	31554	150	NA	NA	Germany_RKI	4560	39.2857142857143	2096.0380030815	all	Germany_RKI all 2020-03-25	83166711	0	0	0	0	0	0
2020-03-26	Germany_RKI	4954	49	DE.Sub	NA	NA	36508	199	2006.40477187108	NA	Germany_RKI	4848.14285714286	47.7142857142857	2140.7030384457	all	Germany_RKI all 2020-03-26	83166711	0	0	0	0	0	0
2020-03-27	Germany_RKI	5780	55	DE.Sub	NA	NA	42288	254	2095.12926848683	NA	Germany_RKI	4946.57142857143	52.7142857142857	2200.85988498997	all	Germany_RKI all 2020-03-27	83166711	0	0	0	0	0	0
2020-03-28	Germany_RKI	6294	68	DE.Sub	NA	NA	48582	322	2186.57996888658	NA	Germany_RKI	4925.28571428571	67	2271.44559048223	all	Germany_RKI all 2020-03-28	83166711	0	0	0	0	0	0
2020-03-29	Germany_RKI	3965	68	DE.Sub	NA	NA	52547	390	2274.6981445383	NA	Germany_RKI	5116	83.2857142857143	2361.95214793516	all	Germany_RKI all 2020-03-29	83166711	0	0	0	0	0	0
2020-03-30	Germany_RKI	4751	66	DE.Sub	NA	NA	57298	456	2441.48727116705	NA	Germany_RKI	5287.71428571429	96.2857142857143	2503.7679085305	all	Germany_RKI all 2020-03-30	83166711	0	0	0	0	0	0
2020-03-31	Germany_RKI	4615	128	DE.Sub	NA	NA	61913	584	2624.37411794355	NA	Germany_RKI	5344	109.142857142857	2652.56338834398	all	Germany_RKI all 2020-03-31	83166711	0	0	0	0	0	0
