DateRep	CountryExp	NewConfCases	NewDeaths	GeoId	NewRecovered	AllRecovered	AllConfCases	AllDeaths	covid_inICU_upscaled	Hospital	CountryExp2	NewConfCases7	NewDeaths7	covid_inICU_upscaled7	Altersgruppe	id	Ntotal	NewVaccinations	NewVaccinations_voll	NewVaccinations7	NewVaccinations_voll7	AllVaccinations	AllVaccinations_voll
2020-03-04	Sachsen	1	0	DE.Sub	NA	NA	1	0	NA	NA	Sachsen	NA	NA	NA	all	Sachsen all 2020-03-04	4071971	0	0	0	0	0	0
2020-03-05	Sachsen	0	0	DE.Sub	NA	NA	1	0	NA	NA	Sachsen	NA	NA	NA	all	Sachsen all 2020-03-05	4071971	0	0	0	0	0	0
2020-03-06	Sachsen	0	0	DE.Sub	NA	NA	1	0	NA	NA	Sachsen	NA	NA	NA	all	Sachsen all 2020-03-06	4071971	0	0	0	0	0	0
2020-03-09	Sachsen	3	0	DE.Sub	NA	NA	4	0	NA	NA	Sachsen	4.28571428571429	0	NA	all	Sachsen all 2020-03-09	4071971	0	0	0	0	0	0
2020-03-10	Sachsen	1	0	DE.Sub	NA	NA	5	0	NA	NA	Sachsen	6.42857142857143	0	NA	all	Sachsen all 2020-03-10	4071971	0	0	0	0	0	0
2020-03-11	Sachsen	12	0	DE.Sub	NA	NA	17	0	NA	NA	Sachsen	12.1428571428571	0	NA	all	Sachsen all 2020-03-11	4071971	0	0	0	0	0	0
2020-03-12	Sachsen	13	0	DE.Sub	NA	NA	30	0	NA	NA	Sachsen	12.8571428571429	0	NA	all	Sachsen all 2020-03-12	4071971	0	0	0	0	0	0
2020-03-13	Sachsen	16	0	DE.Sub	NA	NA	46	0	NA	NA	Sachsen	14.1428571428571	0	NA	all	Sachsen all 2020-03-13	4071971	0	0	0	0	0	0
2020-03-14	Sachsen	40	0	DE.Sub	NA	NA	86	0	NA	NA	Sachsen	25.2857142857143	0	NA	all	Sachsen all 2020-03-14	4071971	0	0	0	0	0	0
2020-03-15	Sachsen	5	0	DE.Sub	NA	NA	91	0	NA	NA	Sachsen	25.8571428571429	0	NA	all	Sachsen all 2020-03-15	4071971	0	0	0	0	0	0
