level	CountryExp	woche	Meldedatum_woche	Altersgruppe	NewConfCases	NewDeaths	AllConfCases	AllDeaths	WeeklyDeathRate	TotalDeathRate	AllDeaths_rel
Land	Deutschland	5	2020-02-01	A00-A04	1	0	1	0	0	0	0
Land	Deutschland	6	2020-02-08	A00-A04	1	0	2	0	0	0	0
Land	Deutschland	7	2020-02-15	A00-A04	1	0	3	0	0	0	0
Land		8	2020-02-22	A00-A04	0	0	3	0		0	0
Land	Deutschland	9	2020-02-29	A00-A04	4	0	7	0	0	0	0
Land	Deutschland	10	2020-03-07	A00-A04	9	0	16	0	0	0	0
Land	Deutschland	11	2020-03-14	A00-A04	36	0	52	0	0	0	0
Land	Deutschland	12	2020-03-21	A00-A04	146	0	198	0	0	0	0
Land	Deutschland	13	2020-03-28	A00-A04	258	0	456	0	0	0	0
Land	Deutschland	14	2020-04-04	A00-A04	275	0	731	0	0	0	0
Land	Deutschland	15	2020-04-11	A00-A04	235	1	966	1	0.00425531914893617	0.0010351966873706	1
Land	Deutschland	16	2020-04-18	A00-A04	159	0	1125	1	0	0.000888888888888889	1
Land	Deutschland	17	2020-04-25	A00-A04	185	0	1310	1	0	0.000763358778625954	1
Land	Deutschland	18	2020-05-02	A00-A04	130	0	1440	1	0	0.000694444444444445	1
Land	Deutschland	19	2020-05-09	A00-A04	137	0	1577	1	0	0.000634115409004439	1
Land	Deutschland	20	2020-05-16	A00-A04	117	0	1694	1	0	0.000590318772136954	1
Land	Deutschland	21	2020-05-23	A00-A04	120	0	1814	1	0	0.000551267916207277	1
Land	Deutschland	22	2020-05-30	A00-A04	86	0	1900	1	0	0.000526315789473684	1
Land	Deutschland	23	2020-06-06	A00-A04	106	0	2006	1	0	0.000498504486540379	1
Land	Deutschland	24	2020-06-13	A00-A04	109	0	2115	1	0	0.000472813238770686	1
Land	Deutschland	25	2020-06-20	A00-A04	159	0	2274	1	0	0.000439753737906772	1
Land	Deutschland	26	2020-06-27	A00-A04	133	0	2407	1	0	0.000415454923140839	1
Land	Deutschland	27	2020-07-04	A00-A04	141	0	2548	1	0	0.000392464678178964	1
Land	Deutschland	28	2020-07-11	A00-A04	23	0	2571	1	0	0.000388953714507974	1
Land		5	2020-02-01	A05-A14	0	0	0	0			
Land		6	2020-02-08	A05-A14	0	0	0	0			
Land		7	2020-02-15	A05-A14	0	0	0	0			
Land		8	2020-02-22	A05-A14	0	0	0	0			
Land	Deutschland	9	2020-02-29	A05-A14	3	0	3	0	0	0	
Land	Deutschland	10	2020-03-07	A05-A14	31	0	34	0	0	0	
Land	Deutschland	11	2020-03-14	A05-A14	161	0	195	0	0	0	
Land	Deutschland	12	2020-03-21	A05-A14	420	0	615	0	0	0	
Land	Deutschland	13	2020-03-28	A05-A14	628	0	1243	0	0	0	
Land	Deutschland	14	2020-04-04	A05-A14	722	0	1965	0	0	0	
Land	Deutschland	15	2020-04-11	A05-A14	535	0	2500	0	0	0	
Land	Deutschland	16	2020-04-18	A05-A14	398	0	2898	0	0	0	
Land	Deutschland	17	2020-04-25	A05-A14	339	0	3237	0	0	0	
Land	Deutschland	18	2020-05-02	A05-A14	254	0	3491	0	0	0	
Land	Deutschland	19	2020-05-09	A05-A14	230	0	3721	0	0	0	
Land	Deutschland	20	2020-05-16	A05-A14	228	0	3949	0	0	0	
Land	Deutschland	21	2020-05-23	A05-A14	187	0	4136	0	0	0	
Land	Deutschland	22	2020-05-30	A05-A14	231	0	4367	0	0	0	
Land	Deutschland	23	2020-06-06	A05-A14	201	0	4568	0	0	0	
Land	Deutschland	24	2020-06-13	A05-A14	240	0	4808	0	0	0	
Land	Deutschland	25	2020-06-20	A05-A14	366	0	5174	0	0	0	
Land	Deutschland	26	2020-06-27	A05-A14	282	0	5456	0	0	0	
Land	Deutschland	27	2020-07-04	A05-A14	226	0	5682	0	0	0	
Land	Deutschland	28	2020-07-11	A05-A14	39	0	5721	0	0	0	
Land	Deutschland	5	2020-02-01	A15-A34	3	0	3	0	0	0	0
Land	Deutschland	6	2020-02-08	A15-A34	2	0	5	0	0	0	0
Land		7	2020-02-15	A15-A34	0	0	5	0		0	0
Land		8	2020-02-22	A15-A34	0	0	5	0		0	0
Land	Deutschland	9	2020-02-29	A15-A34	63	0	68	0	0	0	0
Land	Deutschland	10	2020-03-07	A15-A34	255	0	323	0	0	0	0
Land	Deutschland	11	2020-03-14	A15-A34	1580	0	1903	0	0	0	0
Land	Deutschland	12	2020-03-21	A15-A34	6050	2	7953	2	0.000330578512396694	0.000251477429900666	0.111111111111111
Land	Deutschland	13	2020-03-28	A15-A34	8544	2	16497	4	0.000234082397003745	0.000242468327574711	0.222222222222222
Land	Deutschland	14	2020-04-04	A15-A34	8221	4	24718	8	0.000486558812796497	0.000323650780807509	0.444444444444444
Land	Deutschland	15	2020-04-11	A15-A34	6272	2	30990	10	0.000318877551020408	0.000322684737011939	0.555555555555556
Land	Deutschland	16	2020-04-18	A15-A34	4293	2	35283	12	0.000465874679711158	0.00034010713374713	0.666666666666667
Land	Deutschland	17	2020-04-25	A15-A34	3259	5	38542	17	0.00153421294875729	0.000441077266358777	0.944444444444444
Land	Deutschland	18	2020-05-02	A15-A34	2100	1	40642	18	0.000476190476190476	0.000442891589980808	1
Land	Deutschland	19	2020-05-09	A15-A34	1779	0	42421	18	0	0.000424318144315316	1
Land	Deutschland	20	2020-05-16	A15-A34	1372	0	43793	18	0	0.000411024592971479	1
Land	Deutschland	21	2020-05-23	A15-A34	1133	0	44926	18	0	0.000400658861238481	1
Land	Deutschland	22	2020-05-30	A15-A34	1031	0	45957	18	0	0.000391670474574058	1
Land	Deutschland	23	2020-06-06	A15-A34	806	0	46763	18	0	0.000384919701473387	1
Land	Deutschland	24	2020-06-13	A15-A34	817	0	47580	18	0	0.000378310214375788	1
Land	Deutschland	25	2020-06-20	A15-A34	1409	0	48989	18	0	0.000367429422931679	1
Land	Deutschland	26	2020-06-27	A15-A34	1068	0	50057	18	0	0.000359590067323252	1
Land	Deutschland	27	2020-07-04	A15-A34	962	0	51019	18	0	0.000352809737548756	1
Land	Deutschland	28	2020-07-11	A15-A34	99	0	51118	18	0	0.000352126452521617	1
Land	Deutschland	5	2020-02-01	A35-A59	3	0	3	0	0	0	0
Land	Deutschland	6	2020-02-08	A35-A59	4	0	7	0	0	0	0
Land	Deutschland	7	2020-02-15	A35-A59	2	0	9	0	0	0	0
Land		8	2020-02-22	A35-A59	0	0	9	0		0	0
Land	Deutschland	9	2020-02-29	A35-A59	55	0	64	0	0	0	0
Land	Deutschland	10	2020-03-07	A35-A59	460	1	524	1	0.00217391304347826	0.00190839694656489	0.00242130750605327
Land	Deutschland	11	2020-03-14	A35-A59	3581	8	4105	9	0.00223401284557386	0.00219244823386114	0.0217917675544794
Land	Deutschland	12	2020-03-21	A35-A59	11360	35	15465	44	0.00308098591549296	0.00284513417394116	0.106537530266344
Land	Deutschland	13	2020-03-28	A35-A59	15239	91	30704	135	0.00597152044097382	0.00439682126107348	0.326876513317191
Land	Deutschland	14	2020-04-04	A35-A59	14612	82	45316	217	0.00561182589652341	0.00478859563950922	0.525423728813559
Land	Deutschland	15	2020-04-11	A35-A59	10462	78	55778	295	0.00745555343146626	0.00528882355050378	0.714285714285714
Land	Deutschland	16	2020-04-18	A35-A59	6295	47	62073	342	0.00746624305003971	0.00550964187327824	0.828087167070218
Land	Deutschland	17	2020-04-25	A35-A59	4297	20	66370	362	0.00465441005352572	0.00545427150821154	0.876513317191283
Land	Deutschland	18	2020-05-02	A35-A59	2589	14	68959	376	0.00540749324063345	0.00545251526269232	0.910411622276029
Land	Deutschland	19	2020-05-09	A35-A59	2292	9	71251	385	0.00392670157068063	0.00540343293427461	0.932203389830508
Land	Deutschland	20	2020-05-16	A35-A59	1756	5	73007	390	0.00284738041002278	0.00534195351130714	0.944309927360775
Land	Deutschland	21	2020-05-23	A35-A59	1278	5	74285	395	0.00391236306729265	0.00531735882075789	0.956416464891041
Land	Deutschland	22	2020-05-30	A35-A59	1129	4	75414	399	0.00354295837023915	0.00529079481263426	0.966101694915254
Land	Deutschland	23	2020-06-06	A35-A59	785	4	76199	403	0.00509554140127389	0.00528878331736637	0.975786924939467
