ID;death_date1;death_date2;death_date3;death_date4;death_date5;death_date6;death_date7;death_date8;death_date9;death_date10;death_date11;death_date12;death_date13;death_date14;death_date15;death_date16;death_date17;death_date18;death_date19;crit_date1;crit_date2;crit_date3;crit_date4;crit_date5;crit_date6;crit_date7;crit_date8;crit_date9;crit_date10;crit_date11;crit_date12;crit_date13;crit_date14;crit_date15;crit_date16;crit_date17;crit_date18;date_treat1;date_treat2;date_treat3;date_treat4;date_treat5;date_treat6;date_treat7;date_treat8;date_treat9;date_treat10;date_treat11;date_treat12;date_treat13;date_treat14;date_treat15;date_treat16;date_treat17;date_treat18;date_treat19;date_treat20;date_treat21;date_treat22;date_treat23;date_treat24;date_treat25;date_treat26;date_treat27;date_treat28;date_mu
1;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;20.01.2021;12.02.2021;25.02.2021;11.03.2021;19.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;20.11.2020;20.12.2020;31.12.2020;25.01.2021;12.02.2021;05.03.2021;18.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;22.05.2020;05.06.2020;13.06.2020;01.07.2020;11.08.2020;29.08.2020;01.10.2020;19.10.2020;02.11.2020;11.11.2020;25.11.2020;05.12.2020;16.12.2020;26.12.2020;01.01.2021;13.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
2;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;01.02.2021;12.02.2021;28.02.2021;11.03.2021;11.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;01.12.2020;22.12.2020;06.01.2021;01.02.2021;12.02.2021;25.02.2021;04.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;21.05.2020;05.06.2020;12.06.2020;01.07.2020;12.08.2020;27.08.2020;30.09.2020;19.10.2020;02.11.2020;09.11.2020;22.11.2020;29.11.2020;16.12.2020;23.12.2020;04.01.2021;16.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
3;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;01.02.2021;12.02.2021;28.02.2021;11.03.2021;11.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;01.12.2020;22.12.2020;06.01.2021;01.02.2021;12.02.2021;25.02.2021;04.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;21.05.2020;05.06.2020;12.06.2020;01.07.2020;12.08.2020;27.08.2020;30.09.2020;19.10.2020;02.11.2020;09.11.2020;22.11.2020;29.11.2020;16.12.2020;23.12.2020;04.01.2021;16.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
4;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;01.02.2021;12.02.2021;28.02.2021;11.03.2021;11.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;01.12.2020;22.12.2020;06.01.2021;01.02.2021;12.02.2021;25.02.2021;04.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;21.05.2020;05.06.2020;12.06.2020;01.07.2020;12.08.2020;27.08.2020;30.09.2020;19.10.2020;02.11.2020;09.11.2020;22.11.2020;29.11.2020;16.12.2020;23.12.2020;04.01.2021;16.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
5;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;01.02.2021;12.02.2021;28.02.2021;11.03.2021;11.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;01.12.2020;22.12.2020;06.01.2021;01.02.2021;12.02.2021;25.02.2021;04.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;21.05.2020;05.06.2020;12.06.2020;01.07.2020;12.08.2020;27.08.2020;30.09.2020;19.10.2020;02.11.2020;09.11.2020;22.11.2020;29.11.2020;16.12.2020;23.12.2020;04.01.2021;16.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
6;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;01.02.2021;12.02.2021;28.02.2021;11.03.2021;11.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;01.12.2020;22.12.2020;06.01.2021;01.02.2021;12.02.2021;25.02.2021;04.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;21.05.2020;05.06.2020;12.06.2020;01.07.2020;12.08.2020;27.08.2020;30.09.2020;19.10.2020;02.11.2020;09.11.2020;22.11.2020;29.11.2020;16.12.2020;23.12.2020;04.01.2021;16.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
7;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;01.02.2021;12.02.2021;28.02.2021;11.03.2021;11.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;01.12.2020;22.12.2020;06.01.2021;01.02.2021;12.02.2021;25.02.2021;04.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;21.05.2020;05.06.2020;12.06.2020;01.07.2020;12.08.2020;27.08.2020;30.09.2020;19.10.2020;02.11.2020;09.11.2020;22.11.2020;29.11.2020;16.12.2020;23.12.2020;04.01.2021;16.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
8;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;01.02.2021;12.02.2021;28.02.2021;11.03.2021;11.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;01.12.2020;22.12.2020;06.01.2021;01.02.2021;12.02.2021;25.02.2021;04.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;21.05.2020;05.06.2020;12.06.2020;01.07.2020;12.08.2020;27.08.2020;30.09.2020;19.10.2020;02.11.2020;09.11.2020;22.11.2020;29.11.2020;16.12.2020;23.12.2020;04.01.2021;16.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
9;04.04.2020;24.04.2020;17.05.2020;08.06.2020;07.07.2020;04.08.2020;26.08.2020;27.09.2020;03.10.2020;02.11.2020;16.11.2020;01.12.2020;20.12.2020;08.01.2021;19.01.2021;09.02.2021;26.02.2021;07.03.2021;19.03.2021;24.03.2020;10.04.2020;11.05.2020;05.06.2020;02.07.2020;27.07.2020;29.08.2020;18.09.2020;25.09.2020;13.10.2020;26.10.2020;01.12.2020;26.12.2020;10.01.2021;25.01.2021;13.02.2021;05.03.2021;18.03.2021;10.03.2020;15.03.2020;22.03.2020;02.04.2020;14.04.2020;30.04.2020;07.05.2020;14.05.2020;19.05.2020;04.06.2020;11.06.2020;30.06.2020;16.08.2020;26.08.2020;04.10.2020;21.10.2020;30.10.2020;11.11.2020;19.11.2020;22.11.2020;10.12.2020;18.12.2020;01.01.2021;14.01.2021;05.02.2021;15.02.2021;26.02.2021;01.04.2021;26.01.2021
10;26.03.2020;24.04.2020;17.05.2020;10.06.2020;06.07.2020;28.07.2020;25.08.2020;21.09.2020;12.10.2020;03.11.2020;24.11.2020;08.12.2020;23.12.2020;06.01.2021;01.02.2021;12.02.2021;28.02.2021;11.03.2021;11.03.2021;20.03.2020;01.04.2020;05.05.2020;04.06.2020;05.07.2020;30.07.2020;22.08.2020;20.09.2020;07.10.2020;18.10.2020;05.11.2020;01.12.2020;22.12.2020;06.01.2021;01.02.2021;12.02.2021;25.02.2021;04.03.2021;10.03.2020;15.03.2020;22.03.2020;29.03.2020;23.04.2020;30.04.2020;07.05.2020;14.05.2020;21.05.2020;05.06.2020;12.06.2020;01.07.2020;12.08.2020;27.08.2020;30.09.2020;19.10.2020;02.11.2020;09.11.2020;22.11.2020;29.11.2020;16.12.2020;23.12.2020;04.01.2021;16.01.2021;05.02.2021;15.02.2021;25.02.2021;01.04.2021;26.01.2021
