names;subs_indiv;subs_pop_om_opt;subs_pop_mu_opt;relev_virtual;transform_label;LB;UB;init_mean;init_sd;subs_special;prior;priorval;priorom;units;part;locord;natord
r1;1;0;0;0;1;0;1;1,1349346;0;0;0;0,554817264;2;1/day;System;1;1
r2;0;0;0;0;1;0;1;0,839523249;0;0;0;0,7;2;1/day;System;2;2
r3;1;0;0;0;2;0,25;0,5;0,28968262;0;1;1;0,333333333;2;1/incubperiod;System;3;3
r4;1;0;0;0;2;0,3;0,75;0,696638388;0;1;1;0,6;2;1/day;System;4;4
rb4;1;0;0;0;2;0,2;1;0,396892852;0;1;1;0,4;2;1/day;System;5;5
r5;1;0;0;0;2;0,4;2;1,080019315;0;1;1;1,2;2;1/day;System;6;6
r6;1;0;0;0;2;0,142857143;0,25;0,179196308;0;1;1;0,2;2;1/day;System;7;7
r7;1;0;0;0;2;0,085714286;0,375;0,218566933;0;1;1;0,176470588;2;1/day;System;8;8
r8;1;0;0;0;2;0,071428571;0,153846154;0,124569564;0;1;1;0,125;2;1/day;System;9;9
r9;1;0;0;0;2;0,071428571;0,142857143;0,107736162;0;1;1;0,1;2;1/day;System;10;10
psymp;0;0;0;0;2;0,3;0,8;0,5;0;1;1;0,5;2;1/incubperiod;System;11;11
pcrit;1;0;0;0;2;0;1;0,115395872;0;0;0;0,045411132;2;1/incubperiod;System;12;12
pdeath;1;0;0;0;2;0;1;0,341589082;0;0;0;0,585909045;2;1/incubperiod;System;13;13
influx;1;0;0;0;1;0;1;24,76141728;0;0;0;500;2;1/day;add;14;14
Iainit;0;0;0;0;0;0;1000;0;0;0;0;0;2;1/incubperiod;System;15;15
procentmeas;1;0;0;0;2;0,1;0,9;0,5;0;1;1;0,5;2;1/incubperiod;System;16;16
influx_start;0;0;0;0;0;0;40;0;0;0;0;0;2;1/incubperiod;System;17;17
treat1;1;0;0;0;1;0;1;0,942379055;0;0;0;0,43;2;Lock;System;18;18
treat2;1;0;0;0;1;0;1;0,50586091;0;0;0;1;2;Lock;System;19;19
treat3;1;0;0;0;1;0;1;0,764840591;0;0;0;0,1;2;Lock;System;20;20
treat4;1;0;0;0;1;0;1;0,484554678;0;0;0;1;2;Lock;System;21;21
treat5;1;0;0;0;1;0;1;0,510849649;0;0;0;1;2;Unlock;System;22;22
treat6;1;0;0;0;1;0;1;0,780955055;0;0;0;1;2;Unlock;System;23;23
treat7;1;0;0;0;1;0;1;1;0;0;0;0,5;0,5;Unlock;System;23;23
treat8;1;0;0;0;1;0;1;0,9;0;0;0;1;2;Unlock;System;22;22
treat9;1;0;0;0;1;0;1;0,9;0;0;0;1;2;Unlock;System;23;23
treat10;1;0;0;0;1;0;1;0,5;0;0;0;0,5;0,5;Unlock;System;23;23
